mutation,org.apache.commons.lang3.ConversionTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.ConversionTest]/[method:testBinaryBeMsb0ToHexDigit()],org.apache.commons.lang3.ConversionTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.ConversionTest]/[test-template:binaryBeMsb0ToHexDigitPosOutsideArray(int)]/[test-template-invocation:#2],org.apache.commons.lang3.ConversionTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.ConversionTest]/[method:testBinaryBeMsb0ToHexDigit_2args()],org.apache.commons.lang3.ConversionTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.ConversionTest]/[method:testBinaryToByte()],org.apache.commons.lang3.ConversionTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.ConversionTest]/[method:testBinaryToHexDigit()],org.apache.commons.lang3.ConversionTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.ConversionTest]/[method:testBinaryToHexDigit_2args()],org.apache.commons.lang3.ConversionTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.ConversionTest]/[method:testBinaryToHexDigitMsb0_bits()],org.apache.commons.lang3.ConversionTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.ConversionTest]/[method:testBinaryToHexDigitMsb0_4bits_2args()],org.apache.commons.lang3.ConversionTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.ConversionTest]/[method:testBinaryToInt()],org.apache.commons.lang3.ConversionTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.ConversionTest]/[method:testBinaryToLong()],org.apache.commons.lang3.ConversionTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.ConversionTest]/[method:testBinaryToShort()],org.apache.commons.lang3.ConversionTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.ConversionTest]/[method:testByteArrayToInt()],org.apache.commons.lang3.ConversionTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.ConversionTest]/[method:testByteArrayToUuid()],org.apache.commons.lang3.ConversionTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.ConversionTest]/[method:testByteArrayToLong()],org.apache.commons.lang3.ConversionTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.ConversionTest]/[method:testByteArrayToShort()],org.apache.commons.lang3.ConversionTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.ConversionTest]/[method:testByteToBinary()],org.apache.commons.lang3.ConversionTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.ConversionTest]/[method:testByteToHex()],org.apache.commons.lang3.ConversionTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.ConversionTest]/[method:testHexDigitMsb0ToBinary()],org.apache.commons.lang3.ConversionTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.ConversionTest]/[method:testHexDigitMsb0ToInt()],org.apache.commons.lang3.ConversionTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.ConversionTest]/[method:testHexDigitToBinary()],org.apache.commons.lang3.ConversionTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.ConversionTest]/[method:testHexToInt()],org.apache.commons.lang3.ConversionTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.ConversionTest]/[method:testHexToByte()],org.apache.commons.lang3.builder.ConversionTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.builder.ConversionTest]/[method:testHexToByte_IllegalArgument()],org.apache.commons.lang3.ConversionTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.ConversionTest]/[method:testHexToLong()],org.apache.commons.lang3.ConversionTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.ConversionTest]/[method:testHexToShort()],none,org.apache.commons.lang3.ConversionTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.ConversionTest]/[method:testIntArrayToLong()],org.apache.commons.lang3.ConversionTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.ConversionTest]/[method:testIntToBinary()],org.apache.commons.lang3.ConversionTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.ConversionTest]/[method:testIntToByteArray()],org.apache.commons.lang3.ConversionTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.ConversionTest]/[method:testIntToHex()],org.apache.commons.lang3.ConversionTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.ConversionTest]/[method:testIntToHexDigit()],org.apache.commons.lang3.ConversionTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.ConversionTest]/[method:testIntToHexDigitMsb0()],org.apache.commons.lang3.ConversionTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.ConversionTest]/[method:testIntToShortArray()],org.apache.commons.lang3.ConversionTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.ConversionTest]/[method:testLongToBinary()],org.apache.commons.lang3.ConversionTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.ConversionTest]/[method:testUuidToByteArray()],org.apache.commons.lang3.ConversionTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.ConversionTest]/[method:testLongToByteArray()],org.apache.commons.lang3.ConversionTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.ConversionTest]/[method:testLongToHex()],org.apache.commons.lang3.ConversionTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.ConversionTest]/[method:testLongToIntArray()],org.apache.commons.lang3.ConversionTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.ConversionTest]/[method:testLongToShortArray()],org.apache.commons.lang3.ConversionTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.ConversionTest]/[method:testShortArrayToInt()],org.apache.commons.lang3.ConversionTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.ConversionTest]/[method:testShortArrayToLong()],org.apache.commons.lang3.ConversionTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.ConversionTest]/[method:testShortToBinary()],org.apache.commons.lang3.ConversionTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.ConversionTest]/[method:testShortToByteArray()],org.apache.commons.lang3.ConversionTest.[engine:junit-jupiter]/[class:org.apache.commons.lang3.ConversionTest]/[method:testShortToHex()]
96|replaced char return with 0 for org/apache/commons/lang3/Conversion::binaryBeMsb0ToHexDigit,KILLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117|changed conditional boundary,KILLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119|negated conditional,,KILLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125|Replaced integer subtraction with addition,,,KILLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126|Replaced integer subtraction with addition,KILLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127|Replaced integer subtraction with addition,KILLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128|negated conditional,KILLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129|negated conditional,KILLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131|negated conditional,KILLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133|negated conditional,KILLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134|negated conditional,KILLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136|replaced char return with 0 for org/apache/commons/lang3/Conversion::binaryBeMsb0ToHexDigit,KILLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138|Replaced integer subtraction with addition,KILLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139|negated conditional,KILLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140|negated conditional,KILLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142|replaced char return with 0 for org/apache/commons/lang3/Conversion::binaryBeMsb0ToHexDigit,KILLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144|changed conditional boundary,,,KILLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145|negated conditional,KILLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147|replaced char return with 0 for org/apache/commons/lang3/Conversion::binaryBeMsb0ToHexDigit,KILLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167|negated conditional,,,,KILLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168|replaced byte return with 0 for org/apache/commons/lang3/Conversion::binaryToByte,,,,KILLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170|Replaced integer subtraction with addition,,,,KILLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174|negated conditional,,,,KILLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175|Replaced integer addition with subtraction,,,,KILLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176|negated conditional,,,,KILLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177|Replaced Shift Left with Shift Right,,,,KILLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178|Replaced XOR with AND,,,,KILLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180|replaced byte return with 0 for org/apache/commons/lang3/Conversion::binaryToByte,,,,KILLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197|replaced char return with 0 for org/apache/commons/lang3/Conversion::binaryToHexDigit,,,,,KILLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215|negated conditional,,,,,,KILLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218|negated conditional,,,,,,KILLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219|Replaced integer addition with subtraction,,,,,,KILLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220|Replaced integer addition with subtraction,,,,,,KILLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221|negated conditional,,,,,KILLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223|replaced char return with 0 for org/apache/commons/lang3/Conversion::binaryToHexDigit,,,,,,KILLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225|Replaced integer addition with subtraction,,,,,KILLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226|negated conditional,,,,,KILLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228|replaced char return with 0 for org/apache/commons/lang3/Conversion::binaryToHexDigit,,,,,,KILLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230|changed conditional boundary,,,,,,KILLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231|Replaced integer addition with subtraction,,,,,,KILLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232|negated conditional,,,,,,KILLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234|negated conditional,,,,,,KILLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236|negated conditional,,,,,,KILLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237|negated conditional,,,,,,KILLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239|replaced char return with 0 for org/apache/commons/lang3/Conversion::binaryToHexDigit,,,,,,KILLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
